acronym,acronym_expansion,article_id
AIO,Anthropological Index Online,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQW50aHJvcG9sb2d5
EASA,European Association of Social Anthropologists,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQW50aHJvcG9sb2d5
ASC,altered states of consciousness,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQW50aHJvcG9sb2d5
HTS,Human Terrain System,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQW50aHJvcG9sb2d5
RICP,Research Institute of Crop Production,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWdyaWN1bHR1cmFsX3NjaWVuY2U=
CGIAR,Consultative Group on International Agricultural Research,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWdyaWN1bHR1cmFsX3NjaWVuY2U=
NAL,National Agricultural Library,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWdyaWN1bHR1cmFsX3NjaWVuY2U=
IFPRI,International Food Policy Research Institute,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWdyaWN1bHR1cmFsX3NjaWVuY2U=
EOA,end of address,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQVNDSUk=
GUI,graphical user interface,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQVNDSUk=
EOM,end of message,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQVNDSUk=
EOT,end of transmission,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQVNDSUk=
USASI,United States of America Standards Institute,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQVNDSUk=
SOH,start of header,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQVNDSUk=
SOM,start of message,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQVNDSUk=
NVT,Network Virtual Terminal,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQVNDSUk=
TLA,three-letter acronym,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQVNDSUk=
UCS,Universal Character Set,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQVNDSUk=
ASCII,American Standard Code for Information Interchange,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQVNDSUk=
NSA,North-South Afrasian,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWZyb2FzaWF0aWNfbGFuZ3VhZ2Vz
ESA,East-West Afrasian,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWZyb2FzaWF0aWNfbGFuZ3VhZ2Vz
CASS,Caixa Andorrana de Seguretat Social,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQW5kb3JyYQ==
AFL,American Football League,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQW1lcmljYW5fRm9vdGJhbGxfQ29uZmVyZW5jZQ==
NFC,National Football Conference,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQW1lcmljYW5fRm9vdGJhbGxfQ29uZmVyZW5jZQ==
NFL,National Football League,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQW1lcmljYW5fRm9vdGJhbGxfQ29uZmVyZW5jZQ==
AFC,American Football Conference,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQW1lcmljYW5fRm9vdGJhbGxfQ29uZmVyZW5jZQ==
TTX,tetrodotoxin,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQW1waGliaWFu
FNSB,Fairbanks North Star Borough,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWxhc2th
AHRS,Alaska Heritage Resources Survey,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWxhc2th
ARR,Alaska Railroad,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWxhc2th
USPS,United States Postal Service,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWxhc2th
ANS,Alaska North Slope,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWxhc2th
CAP,Common Agricultural Policy,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWdyaWN1bHR1cmU=
IFAP,International Federation of Agricultural Producers,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWdyaWN1bHR1cmU=
GMO,Genetically Modified Organisms,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWdyaWN1bHR1cmU=
NIOSH,National Institute of Occupational Safety and Health,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWdyaWN1bHR1cmU=
ASA,American Society of Agronomy,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWdyaWN1bHR1cmU=
FAO,Food and Agriculture Organization,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWdyaWN1bHR1cmU=
AAFC,Agriculture and Agri-Food Canada,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWdyaWN1bHR1cmU=
IPM,Integrated pest management,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWdyaWN1bHR1cmU=
GATT,General Agreement on Tariffs and Trade,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWRh
DHA,Docosahexaenoic acid,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWxnYWU=
ALA,Alpha-Linolenic acid,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWxnYWU=
ATS,algal turf scrubber,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWxnYWU=
EPA,Eicosapentaenoic acid,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWxnYWU=
LPG,liquified petroleum gas,aHR0cHM6Ly9lbi53aWtpcGVkaWEub3JnL3dpa2kvQWxrYW5l
