articleID,acronym,correct_expansion,wrong_expansion2,isOneMoreConfident
17415991,MBP,mannan-binding protein,myelin basic protein,False
7515696,MBP,mannan-binding protein,myelin basic protein,True
12713285,MBP,mannan-binding protein,myelin basic protein,True
8920660,MCC,mutated in colorectal carcinomas,Merkel cell carcinoma,True
19813199,MHC,major histocompatibility complex,myosin heavy chains,True
17442057,NBS,Nijmegen breakage syndrome,neuroblastomas,True
18364569,NBS,Nijmegen breakage syndrome,neuroblastomas,True
19822450,NPC,Niemann-Pick C1,nuclear pore complexes,True
19950690,OCD,Obsessive-Compulsive Disorder,osteochondritis dissecans,True
20143498,OCD,Obsessive-Compulsive Disorder,osteochondritis dissecans,True
18226555,OCD,osteochondritis dissecans,Obsessive-Compulsive Disorder,True
19949212,OCD,Obsessive-Compulsive Disorder,osteochondritis dissecans,False
19624630,PCA,patient controlled analgesia,principal-component analysis,True
7903417,PCA,para-chloroamphetamine,principal-component analysis,True
12672153,PCA,passive cutaneous anaphylaxis,para-chloroamphetamine,True
19020166,PCA,patient controlled analgesia,principal-component analysis,True
17544150,PCA,passive cutaneous anaphylaxis,para-chloroamphetamine,True
19224364,PCA,para-chloroamphetamine,passive cutaneous anaphylaxis,True
12641656,PCA,passive cutaneous anaphylaxis,para-chloroamphetamine,True
10822083,PCA,passive cutaneous anaphylaxis,principal-component analysis,True
10869387,PCA,para-chloroamphetamine,passive cutaneous anaphylaxis,True
11146385,PCA,passive cutaneous anaphylaxis,posterior cerebral artery,True
10999445,PCA,para-chloroamphetamine,passive cutaneous anaphylaxis,False
10320767,PCA,para-chloroamphetamine,passive cutaneous anaphylaxis,True
11282390,PCA,passive cutaneous anaphylaxis,principal-component analysis,True
15946623,PCA,passive cutaneous anaphylaxis,principal-component analysis,True
10622452,PCB,Procarbazine,polychlorinated biphenyls,True
3134124,PCB,Procarbazine,polychlorinated biphenyls,True
321233,PCB,Procarbazine,polychlorinated biphenyls,True
11000577,PCB,Procarbazine,polychlorinated biphenyls,False
19780475,PCP,Pneumocystis pneumonia,pentachlorophenate,True
19029576,PCP,Pneumocystis pneumonia,pentachlorophenate,True
18065667,PCP,Pneumocystis pneumonia,pentachlorophenate,True
19353758,PCP,psychotomimetic phencyclidine,pentachlorophenate,True
19425051,PCP,psychotomimetic phencyclidine,Pneumocystis pneumonia,True
12628374,PEP,phosphoenolpyruvate,peplomycin,True
6690241,PHA,Pelger-Huet anomaly,phytohemagglutinin,True
16007606,PHA,Pelger-Huet anomaly,phytohemagglutinin,False
17123255,PHA,Pelger-Huet anomaly,phytohemagglutinin,True
16724080,PHA,Pelger-Huet anomaly,phytohemagglutinin,False
12879427,PHA,Pelger-Huet anomaly,phytohemagglutinin,True
1418654,PHA,Pelger-Huet anomaly,phytohemagglutinin,True
1951327,PHA,Pelger-Huet anomaly,phytohemagglutinin,True
6244014,PHA,Pelger-Huet anomaly,phytohemagglutinin,False
9647622,PVC,Premature ventricular contractions,polyvinyl chloride,True
10812321,PVC,Premature ventricular contractions,polyvinyl chloride,True
19338595,PVC,polyvinyl chloride,Premature ventricular contractions,True
20412708,RA,rheumatoid arthritis,refractory anemia,False
10629588,RA,refractory anemia,rheumatoid arthritis,True
11380604,RA,refractory anemia,rheumatoid arthritis,True
16445979,RA,refractory anemia,rheumatoid arthritis,True
20435930,RA,rheumatoid arthritis,refractory anemia,True
18691343,RA,refractory anemia,rheumatoid arthritis,True
20398000,RA,rheumatoid arthritis,refractory anemia,True
20332595,RA,rheumatoid arthritis,refractory anemia,True
20514776,RA,rheumatoid arthritis,refractory anemia,True
19499580,RA,refractory anemia,rheumatoid arthritis,True
19641066,RSV,respiratory syncytial virus,Rous sarcoma virus,True
19368128,RSV,Rous sarcoma virus,respiratory syncytial virus,True
18037405,RSV,Rous sarcoma virus,respiratory syncytial virus,True
17913830,RSV,Rous sarcoma virus,respiratory syncytial virus,True
17448514,RSV,Rous sarcoma virus,respiratory syncytial virus,True
9679937,SPR,substance P receptor,Surface Plasmon Resonance,True
16179788,SS,Sweet's syndrome,Synovial sarcoma,True
19288517,TAT,tyrosine aminotransferase,Trans-Activation of Transcription,True
19789962,TAT,tyrosine aminotransferase,Trans-Activation of Transcription,False
14425726,TEM,triethylene melamine,transmission electron microscopy,True
14466717,TEM,triethylene melamine,transmission electron microscopy,False
19398372,TLC,total lung capacity,thin layer chromatography,True
19893743,TLC,thin layer chromatography,total lung capacity,True
19796182,TLC,thin layer chromatography,total lung capacity,True
18753731,TNC,tenascin-C,troponin C,True
19258009,TPA,12-O-tetradecanoylphorbol-13-acetate,Tissue plasminogen activator,True
20033916,TPA,12-O-tetradecanoylphorbol-13-acetate,Tissue plasminogen activator,False
20232358,TPA,12-O-tetradecanoylphorbol-13-acetate,Tissue plasminogen activator,True
19586612,TPA,12-O-tetradecanoylphorbol-13-acetate,Tissue plasminogen activator,True
18073303,TPO,thyroperoxidase,thrombocytopoiesis-stimulating factor,True
18265539,TPO,thyroperoxidase,thrombocytopoiesis-stimulating factor,True
18363888,TPO,thyroperoxidase,thrombocytopoiesis-stimulating factor,True
17482640,TPO,thyroperoxidase,thrombocytopoiesis-stimulating factor,True
17963848,TPO,thyroperoxidase,thrombocytopoiesis-stimulating factor,True
18302514,TPO,thyroperoxidase,thrombocytopoiesis-stimulating factor,True
18774556,TPO,thyroperoxidase,thrombocytopoiesis-stimulating factor,True
19553636,TPO,thrombocytopoiesis-stimulating factor,thyroperoxidase,True
18457671,TPO,thyroperoxidase,thrombocytopoiesis-stimulating factor,True
17822378,TPO,thyroperoxidase,thrombocytopoiesis-stimulating factor,True
19889150,TPO,thrombocytopoiesis-stimulating factor,thyroperoxidase,True
17880809,TPO,thyroperoxidase,thrombocytopoiesis-stimulating factor,True
18271683,TPO,thyroperoxidase,thrombocytopoiesis-stimulating factor,True
19669106,TPO,thyroperoxidase,thrombocytopoiesis-stimulating factor,True
18432545,TPO,thyroperoxidase,thrombocytopoiesis-stimulating factor,True
19348579,TPO,thyroperoxidase,thrombocytopoiesis-stimulating factor,False
18617523,TPO,thrombocytopoiesis-stimulating factor,thyroperoxidase,True
19225535,TPO,thrombocytopoiesis-stimulating factor,thyroperoxidase,True
6420206,TRF,thyrotropin-releasing factor,T-replacing factor,True
6757723,TRF,T-replacing factor,thyrotropin-releasing factor,True
6376215,TRF,T-replacing factor,thyrotropin-releasing factor,True
7026423,TRF,T-replacing factor,thyrotropin-releasing factor,True
7044951,TRF,T-replacing factor,thyrotropin-releasing factor,True
3871678,TRF,T-replacing factor,thyrotropin-releasing factor,True
3261808,TRF,T-replacing factor,thyrotropin-releasing factor,True
8723124,WBS,Williams-Beuren syndrome,Wiedemann-Beckwith syndrome,True
9004128,WBS,Williams-Beuren syndrome,Wiedemann-Beckwith syndrome,True
11170076,WBS,Williams-Beuren syndrome,Wiedemann-Beckwith syndrome,False
15933846,WBS,Williams-Beuren syndrome,Wiedemann-Beckwith syndrome,True
16140988,WBS,Williams-Beuren syndrome,Wiedemann-Beckwith syndrome,True
10440826,WBS,Williams-Beuren syndrome,Wiedemann-Beckwith syndrome,True
15303821,WBS,Williams-Beuren syndrome,Wiedemann-Beckwith syndrome,True
17658187,WBS,Williams-Beuren syndrome,Wiedemann-Beckwith syndrome,True
11170085,WBS,Williams-Beuren syndrome,Wiedemann-Beckwith syndrome,False
15770126,WBS,Williams-Beuren syndrome,Wiedemann-Beckwith syndrome,True
15994861,WBS,Williams-Beuren syndrome,Wiedemann-Beckwith syndrome,True
8968740,WBS,Williams-Beuren syndrome,Wiedemann-Beckwith syndrome,True
