INFO: 07/24/2015 04:01:20 PM AcronymDB loaded
INFO: 07/24/2015 04:01:26 PM ArticleDB loaded
INFO: 07/24/2015 04:01:36 PM Training new LDA model
INFO: 07/24/2015 04:01:41 PM Getting word_corpus from articles
INFO: 07/24/2015 04:08:32 PM AcronymDB loaded
INFO: 07/24/2015 04:08:35 PM ArticleDB loaded
INFO: 07/24/2015 04:08:38 PM Training new LDA model
INFO: 07/24/2015 04:08:43 PM Getting word_corpus from articles
DEBUG: 07/24/2015 05:15:42 PM converted 17000 articles to words
DEBUG: 07/24/2015 05:16:54 PM converted 18000 articles to words
DEBUG: 07/24/2015 05:18:10 PM converted 19000 articles to words
DEBUG: 07/24/2015 05:19:26 PM converted 20000 articles to words
DEBUG: 07/24/2015 05:20:39 PM converted 21000 articles to words
DEBUG: 07/24/2015 05:21:51 PM converted 22000 articles to words
DEBUG: 07/24/2015 05:23:04 PM converted 23000 articles to words
DEBUG: 07/24/2015 05:24:18 PM converted 24000 articles to words
DEBUG: 07/24/2015 05:25:30 PM converted 25000 articles to words
DEBUG: 07/24/2015 05:26:45 PM converted 26000 articles to words
DEBUG: 07/24/2015 05:28:00 PM converted 27000 articles to words
DEBUG: 07/24/2015 05:29:06 PM converted 28000 articles to words
DEBUG: 07/24/2015 05:30:19 PM converted 29000 articles to words
DEBUG: 07/24/2015 05:31:33 PM converted 30000 articles to words
DEBUG: 07/24/2015 05:32:43 PM converted 31000 articles to words
DEBUG: 07/24/2015 05:33:58 PM converted 32000 articles to words
DEBUG: 07/24/2015 05:35:07 PM converted 33000 articles to words
DEBUG: 07/24/2015 05:36:15 PM converted 34000 articles to words
DEBUG: 07/24/2015 05:37:29 PM converted 35000 articles to words
DEBUG: 07/24/2015 05:38:44 PM converted 36000 articles to words
DEBUG: 07/24/2015 05:39:55 PM converted 37000 articles to words
DEBUG: 07/24/2015 05:41:07 PM converted 38000 articles to words
DEBUG: 07/24/2015 05:42:19 PM converted 39000 articles to words
DEBUG: 07/24/2015 05:43:31 PM converted 40000 articles to words
DEBUG: 07/24/2015 05:44:43 PM converted 41000 articles to words
DEBUG: 07/24/2015 05:45:55 PM converted 42000 articles to words
DEBUG: 07/24/2015 05:47:04 PM converted 43000 articles to words
DEBUG: 07/24/2015 05:48:13 PM converted 44000 articles to words
DEBUG: 07/24/2015 05:49:24 PM converted 45000 articles to words
DEBUG: 07/24/2015 05:50:28 PM converted 46000 articles to words
DEBUG: 07/24/2015 05:51:39 PM converted 47000 articles to words
DEBUG: 07/24/2015 05:52:51 PM converted 48000 articles to words
DEBUG: 07/24/2015 05:54:01 PM converted 49000 articles to words
DEBUG: 07/24/2015 05:55:09 PM converted 50000 articles to words
DEBUG: 07/24/2015 05:56:21 PM converted 51000 articles to words
DEBUG: 07/24/2015 05:57:33 PM converted 52000 articles to words
DEBUG: 07/24/2015 05:58:44 PM converted 53000 articles to words
DEBUG: 07/24/2015 05:59:56 PM converted 54000 articles to words
DEBUG: 07/24/2015 06:01:04 PM converted 55000 articles to words
DEBUG: 07/24/2015 06:02:11 PM converted 56000 articles to words
DEBUG: 07/24/2015 06:03:22 PM converted 57000 articles to words
DEBUG: 07/24/2015 06:04:35 PM converted 58000 articles to words
DEBUG: 07/24/2015 06:05:46 PM converted 59000 articles to words
DEBUG: 07/24/2015 06:06:57 PM converted 60000 articles to words
DEBUG: 07/24/2015 06:08:06 PM converted 61000 articles to words
DEBUG: 07/24/2015 06:09:20 PM converted 62000 articles to words
DEBUG: 07/24/2015 06:10:30 PM converted 63000 articles to words
DEBUG: 07/24/2015 06:11:42 PM converted 64000 articles to words
DEBUG: 07/24/2015 06:12:52 PM converted 65000 articles to words
DEBUG: 07/24/2015 06:14:07 PM converted 66000 articles to words
DEBUG: 07/24/2015 06:15:19 PM converted 67000 articles to words
DEBUG: 07/24/2015 06:16:29 PM converted 68000 articles to words
DEBUG: 07/24/2015 06:17:42 PM converted 69000 articles to words
DEBUG: 07/24/2015 06:18:51 PM converted 70000 articles to words
DEBUG: 07/24/2015 06:20:02 PM converted 71000 articles to words
DEBUG: 07/24/2015 06:21:12 PM converted 72000 articles to words
DEBUG: 07/24/2015 06:22:20 PM converted 73000 articles to words
DEBUG: 07/24/2015 06:23:30 PM converted 74000 articles to words
DEBUG: 07/24/2015 06:24:45 PM converted 75000 articles to words
DEBUG: 07/24/2015 06:25:55 PM converted 76000 articles to words
DEBUG: 07/24/2015 06:27:08 PM converted 77000 articles to words
DEBUG: 07/24/2015 06:28:21 PM converted 78000 articles to words
DEBUG: 07/24/2015 06:29:34 PM converted 79000 articles to words
DEBUG: 07/24/2015 06:30:39 PM converted 80000 articles to words
DEBUG: 07/24/2015 06:31:48 PM converted 81000 articles to words
DEBUG: 07/24/2015 06:33:01 PM converted 82000 articles to words
DEBUG: 07/24/2015 06:34:10 PM converted 83000 articles to words
DEBUG: 07/24/2015 06:35:22 PM converted 84000 articles to words
DEBUG: 07/24/2015 06:36:33 PM converted 85000 articles to words
DEBUG: 07/24/2015 06:37:43 PM converted 86000 articles to words
DEBUG: 07/24/2015 06:38:55 PM converted 87000 articles to words
DEBUG: 07/24/2015 06:40:08 PM converted 88000 articles to words
DEBUG: 07/24/2015 06:41:18 PM converted 89000 articles to words
DEBUG: 07/24/2015 06:42:27 PM converted 90000 articles to words
DEBUG: 07/24/2015 06:43:36 PM converted 91000 articles to words
DEBUG: 07/24/2015 06:44:45 PM converted 92000 articles to words
DEBUG: 07/24/2015 06:45:57 PM converted 93000 articles to words
DEBUG: 07/24/2015 06:47:07 PM converted 94000 articles to words
DEBUG: 07/24/2015 06:48:14 PM converted 95000 articles to words
DEBUG: 07/24/2015 06:49:25 PM converted 96000 articles to words
DEBUG: 07/24/2015 06:50:37 PM converted 97000 articles to words
DEBUG: 07/24/2015 06:51:47 PM converted 98000 articles to words
DEBUG: 07/24/2015 06:52:58 PM converted 99000 articles to words
DEBUG: 07/24/2015 06:54:09 PM converted 100000 articles to words
DEBUG: 07/24/2015 06:55:23 PM converted 101000 articles to words
DEBUG: 07/24/2015 06:56:30 PM converted 102000 articles to words
DEBUG: 07/24/2015 06:57:42 PM converted 103000 articles to words
DEBUG: 07/24/2015 06:58:54 PM converted 104000 articles to words
DEBUG: 07/24/2015 07:00:06 PM converted 105000 articles to words
DEBUG: 07/24/2015 07:01:14 PM converted 106000 articles to words
DEBUG: 07/24/2015 07:02:25 PM converted 107000 articles to words
DEBUG: 07/24/2015 07:03:33 PM converted 108000 articles to words
DEBUG: 07/24/2015 07:04:47 PM converted 109000 articles to words
DEBUG: 07/24/2015 07:05:53 PM converted 110000 articles to words
DEBUG: 07/24/2015 07:07:04 PM converted 111000 articles to words
DEBUG: 07/24/2015 07:08:17 PM converted 112000 articles to words
DEBUG: 07/24/2015 07:09:26 PM converted 113000 articles to words
DEBUG: 07/24/2015 07:10:38 PM converted 114000 articles to words
DEBUG: 07/24/2015 07:11:52 PM converted 115000 articles to words
DEBUG: 07/24/2015 07:13:05 PM converted 116000 articles to words
DEBUG: 07/24/2015 07:14:18 PM converted 117000 articles to words
DEBUG: 07/24/2015 07:15:32 PM converted 118000 articles to words
DEBUG: 07/24/2015 07:16:38 PM converted 119000 articles to words
DEBUG: 07/24/2015 07:17:48 PM converted 120000 articles to words
DEBUG: 07/24/2015 07:19:02 PM converted 121000 articles to words
DEBUG: 07/24/2015 07:20:14 PM converted 122000 articles to words
DEBUG: 07/24/2015 07:21:26 PM converted 123000 articles to words
DEBUG: 07/24/2015 07:22:42 PM converted 124000 articles to words
DEBUG: 07/24/2015 07:23:53 PM converted 125000 articles to words
DEBUG: 07/24/2015 07:25:08 PM converted 126000 articles to words
DEBUG: 07/24/2015 07:26:20 PM converted 127000 articles to words
DEBUG: 07/24/2015 07:27:29 PM converted 128000 articles to words
DEBUG: 07/24/2015 07:28:41 PM converted 129000 articles to words
DEBUG: 07/24/2015 07:29:56 PM converted 130000 articles to words
DEBUG: 07/24/2015 07:31:07 PM converted 131000 articles to words
DEBUG: 07/24/2015 07:32:17 PM converted 132000 articles to words
DEBUG: 07/24/2015 07:33:21 PM converted 133000 articles to words
DEBUG: 07/24/2015 07:34:32 PM converted 134000 articles to words
DEBUG: 07/24/2015 07:35:48 PM converted 135000 articles to words
DEBUG: 07/24/2015 07:37:03 PM converted 136000 articles to words
DEBUG: 07/24/2015 07:38:14 PM converted 137000 articles to words
DEBUG: 07/24/2015 07:39:22 PM converted 138000 articles to words
DEBUG: 07/24/2015 07:40:30 PM converted 139000 articles to words
DEBUG: 07/24/2015 07:41:45 PM converted 140000 articles to words
DEBUG: 07/24/2015 07:42:53 PM converted 141000 articles to words
DEBUG: 07/24/2015 07:44:06 PM converted 142000 articles to words
DEBUG: 07/24/2015 07:45:16 PM converted 143000 articles to words
DEBUG: 07/24/2015 07:46:34 PM converted 144000 articles to words
DEBUG: 07/24/2015 07:47:46 PM converted 145000 articles to words
DEBUG: 07/24/2015 07:48:58 PM converted 146000 articles to words
DEBUG: 07/24/2015 07:50:12 PM converted 147000 articles to words
DEBUG: 07/24/2015 07:51:17 PM converted 148000 articles to words
DEBUG: 07/24/2015 07:52:24 PM converted 149000 articles to words
DEBUG: 07/24/2015 07:53:37 PM converted 150000 articles to words
DEBUG: 07/24/2015 07:54:47 PM converted 151000 articles to words
DEBUG: 07/24/2015 07:55:59 PM converted 152000 articles to words
DEBUG: 07/24/2015 07:57:04 PM converted 153000 articles to words
DEBUG: 07/24/2015 07:58:15 PM converted 154000 articles to words
DEBUG: 07/24/2015 07:59:24 PM converted 155000 articles to words
DEBUG: 07/24/2015 08:00:34 PM converted 156000 articles to words
DEBUG: 07/24/2015 08:01:47 PM converted 157000 articles to words
DEBUG: 07/24/2015 08:03:01 PM converted 158000 articles to words
DEBUG: 07/24/2015 08:04:14 PM converted 159000 articles to words
DEBUG: 07/24/2015 08:05:29 PM converted 160000 articles to words
DEBUG: 07/24/2015 08:06:41 PM converted 161000 articles to words
DEBUG: 07/24/2015 08:07:52 PM converted 162000 articles to words
DEBUG: 07/24/2015 08:09:07 PM converted 163000 articles to words
DEBUG: 07/24/2015 08:10:20 PM converted 164000 articles to words
DEBUG: 07/24/2015 08:11:34 PM converted 165000 articles to words
DEBUG: 07/24/2015 08:12:50 PM converted 166000 articles to words
DEBUG: 07/24/2015 08:14:02 PM converted 167000 articles to words
DEBUG: 07/24/2015 08:15:16 PM converted 168000 articles to words
DEBUG: 07/24/2015 08:16:27 PM converted 169000 articles to words
DEBUG: 07/24/2015 08:17:37 PM converted 170000 articles to words
DEBUG: 07/24/2015 08:18:48 PM converted 171000 articles to words
DEBUG: 07/24/2015 08:20:02 PM converted 172000 articles to words
DEBUG: 07/24/2015 08:21:15 PM converted 173000 articles to words
DEBUG: 07/24/2015 08:22:24 PM converted 174000 articles to words
DEBUG: 07/24/2015 08:23:35 PM converted 175000 articles to words
DEBUG: 07/24/2015 08:24:49 PM converted 176000 articles to words
DEBUG: 07/24/2015 08:25:59 PM converted 177000 articles to words
DEBUG: 07/24/2015 08:27:10 PM converted 178000 articles to words
DEBUG: 07/24/2015 08:28:22 PM converted 179000 articles to words
DEBUG: 07/24/2015 08:29:38 PM converted 180000 articles to words
DEBUG: 07/24/2015 08:30:51 PM converted 181000 articles to words
DEBUG: 07/24/2015 08:32:02 PM converted 182000 articles to words
DEBUG: 07/24/2015 08:33:11 PM converted 183000 articles to words
DEBUG: 07/24/2015 08:34:21 PM converted 184000 articles to words
DEBUG: 07/24/2015 08:35:33 PM converted 185000 articles to words
DEBUG: 07/24/2015 08:36:40 PM converted 186000 articles to words
DEBUG: 07/24/2015 08:37:49 PM converted 187000 articles to words
DEBUG: 07/24/2015 08:39:00 PM converted 188000 articles to words
DEBUG: 07/24/2015 08:40:09 PM converted 189000 articles to words
DEBUG: 07/24/2015 08:41:20 PM converted 190000 articles to words
DEBUG: 07/24/2015 08:42:33 PM converted 191000 articles to words
DEBUG: 07/24/2015 08:43:39 PM converted 192000 articles to words
DEBUG: 07/24/2015 08:44:50 PM converted 193000 articles to words
DEBUG: 07/24/2015 08:46:08 PM converted 194000 articles to words
DEBUG: 07/24/2015 08:47:21 PM converted 195000 articles to words
DEBUG: 07/24/2015 08:48:36 PM converted 196000 articles to words
DEBUG: 07/24/2015 08:49:48 PM converted 197000 articles to words
DEBUG: 07/24/2015 08:50:57 PM converted 198000 articles to words
DEBUG: 07/24/2015 08:52:08 PM converted 199000 articles to words
DEBUG: 07/24/2015 08:53:22 PM converted 200000 articles to words
DEBUG: 07/24/2015 08:54:32 PM converted 201000 articles to words
DEBUG: 07/24/2015 08:55:45 PM converted 202000 articles to words
DEBUG: 07/24/2015 08:56:54 PM converted 203000 articles to words
DEBUG: 07/24/2015 08:58:06 PM converted 204000 articles to words
DEBUG: 07/24/2015 08:59:18 PM converted 205000 articles to words
DEBUG: 07/24/2015 09:00:31 PM converted 206000 articles to words
DEBUG: 07/24/2015 09:01:39 PM converted 207000 articles to words
DEBUG: 07/24/2015 09:02:50 PM converted 208000 articles to words
DEBUG: 07/24/2015 09:04:00 PM converted 209000 articles to words
DEBUG: 07/24/2015 09:05:08 PM converted 210000 articles to words
DEBUG: 07/24/2015 09:06:15 PM converted 211000 articles to words
DEBUG: 07/24/2015 09:07:32 PM converted 212000 articles to words
DEBUG: 07/24/2015 09:08:44 PM converted 213000 articles to words
DEBUG: 07/24/2015 09:09:55 PM converted 214000 articles to words
DEBUG: 07/24/2015 09:11:07 PM converted 215000 articles to words
DEBUG: 07/24/2015 09:12:16 PM converted 216000 articles to words
DEBUG: 07/24/2015 09:13:26 PM converted 217000 articles to words
DEBUG: 07/24/2015 09:14:33 PM converted 218000 articles to words
DEBUG: 07/24/2015 09:15:43 PM converted 219000 articles to words
DEBUG: 07/24/2015 09:16:54 PM converted 220000 articles to words
DEBUG: 07/24/2015 09:18:07 PM converted 221000 articles to words
DEBUG: 07/24/2015 09:19:18 PM converted 222000 articles to words
DEBUG: 07/24/2015 09:20:28 PM converted 223000 articles to words
DEBUG: 07/24/2015 09:21:36 PM converted 224000 articles to words
DEBUG: 07/24/2015 09:22:49 PM converted 225000 articles to words
DEBUG: 07/24/2015 09:23:56 PM converted 226000 articles to words
DEBUG: 07/24/2015 09:25:07 PM converted 227000 articles to words
DEBUG: 07/24/2015 09:26:18 PM converted 228000 articles to words
DEBUG: 07/24/2015 09:27:28 PM converted 229000 articles to words
DEBUG: 07/24/2015 09:28:37 PM converted 230000 articles to words
DEBUG: 07/24/2015 09:29:53 PM converted 231000 articles to words
DEBUG: 07/24/2015 09:31:03 PM converted 232000 articles to words
DEBUG: 07/24/2015 09:32:18 PM converted 233000 articles to words
DEBUG: 07/24/2015 09:33:26 PM converted 234000 articles to words
DEBUG: 07/24/2015 09:34:40 PM converted 235000 articles to words
DEBUG: 07/24/2015 09:35:53 PM converted 236000 articles to words
DEBUG: 07/24/2015 09:37:02 PM converted 237000 articles to words
DEBUG: 07/24/2015 09:38:14 PM converted 238000 articles to words
DEBUG: 07/24/2015 09:39:24 PM converted 239000 articles to words
DEBUG: 07/24/2015 09:40:37 PM converted 240000 articles to words
DEBUG: 07/24/2015 09:41:48 PM converted 241000 articles to words
DEBUG: 07/24/2015 09:43:01 PM converted 242000 articles to words
DEBUG: 07/24/2015 09:44:10 PM converted 243000 articles to words
DEBUG: 07/24/2015 09:45:24 PM converted 244000 articles to words
DEBUG: 07/24/2015 09:46:36 PM converted 245000 articles to words
DEBUG: 07/24/2015 09:47:46 PM converted 246000 articles to words
DEBUG: 07/24/2015 09:48:56 PM converted 247000 articles to words
DEBUG: 07/24/2015 09:50:03 PM converted 248000 articles to words
DEBUG: 07/24/2015 09:51:18 PM converted 249000 articles to words
DEBUG: 07/24/2015 09:52:30 PM converted 250000 articles to words
DEBUG: 07/24/2015 09:53:39 PM converted 251000 articles to words
DEBUG: 07/24/2015 09:54:51 PM converted 252000 articles to words
DEBUG: 07/24/2015 09:55:57 PM converted 253000 articles to words
DEBUG: 07/24/2015 09:57:09 PM converted 254000 articles to words
DEBUG: 07/24/2015 09:58:22 PM converted 255000 articles to words
DEBUG: 07/24/2015 09:59:41 PM converted 256000 articles to words
DEBUG: 07/24/2015 10:00:51 PM converted 257000 articles to words
DEBUG: 07/24/2015 10:02:05 PM converted 258000 articles to words
DEBUG: 07/24/2015 10:03:17 PM converted 259000 articles to words
DEBUG: 07/24/2015 10:04:26 PM converted 260000 articles to words
DEBUG: 07/24/2015 10:05:37 PM converted 261000 articles to words
DEBUG: 07/24/2015 10:06:46 PM converted 262000 articles to words
DEBUG: 07/24/2015 10:07:55 PM converted 263000 articles to words
DEBUG: 07/24/2015 10:09:03 PM converted 264000 articles to words
DEBUG: 07/24/2015 10:10:10 PM converted 265000 articles to words
DEBUG: 07/24/2015 10:11:17 PM converted 266000 articles to words
DEBUG: 07/24/2015 10:12:32 PM converted 267000 articles to words
DEBUG: 07/24/2015 10:13:44 PM converted 268000 articles to words
DEBUG: 07/24/2015 10:14:52 PM converted 269000 articles to words
DEBUG: 07/24/2015 10:16:03 PM converted 270000 articles to words
DEBUG: 07/24/2015 10:17:11 PM converted 271000 articles to words
DEBUG: 07/24/2015 10:18:25 PM converted 272000 articles to words
DEBUG: 07/24/2015 10:19:35 PM converted 273000 articles to words
DEBUG: 07/24/2015 10:20:44 PM converted 274000 articles to words
DEBUG: 07/24/2015 10:21:53 PM converted 275000 articles to words
DEBUG: 07/24/2015 10:23:04 PM converted 276000 articles to words
DEBUG: 07/24/2015 10:24:15 PM converted 277000 articles to words
DEBUG: 07/24/2015 10:25:28 PM converted 278000 articles to words
DEBUG: 07/24/2015 10:26:36 PM converted 279000 articles to words
DEBUG: 07/24/2015 10:27:49 PM converted 280000 articles to words
DEBUG: 07/24/2015 10:28:58 PM converted 281000 articles to words
DEBUG: 07/24/2015 10:30:08 PM converted 282000 articles to words
DEBUG: 07/24/2015 10:31:16 PM converted 283000 articles to words
DEBUG: 07/24/2015 10:32:28 PM converted 284000 articles to words
DEBUG: 07/24/2015 10:33:43 PM converted 285000 articles to words
DEBUG: 07/24/2015 10:34:52 PM converted 286000 articles to words
DEBUG: 07/24/2015 10:36:13 PM converted 287000 articles to words
DEBUG: 07/24/2015 10:37:20 PM converted 288000 articles to words
DEBUG: 07/24/2015 10:38:32 PM converted 289000 articles to words
DEBUG: 07/24/2015 10:39:42 PM converted 290000 articles to words
DEBUG: 07/24/2015 10:40:54 PM converted 291000 articles to words
DEBUG: 07/24/2015 10:42:10 PM converted 292000 articles to words
DEBUG: 07/24/2015 10:43:19 PM converted 293000 articles to words
DEBUG: 07/24/2015 10:44:33 PM converted 294000 articles to words
DEBUG: 07/24/2015 10:45:39 PM converted 295000 articles to words
DEBUG: 07/24/2015 10:46:51 PM converted 296000 articles to words
DEBUG: 07/24/2015 10:48:02 PM converted 297000 articles to words
DEBUG: 07/24/2015 10:49:12 PM converted 298000 articles to words
DEBUG: 07/24/2015 10:50:21 PM converted 299000 articles to words
DEBUG: 07/24/2015 10:51:32 PM converted 300000 articles to words
DEBUG: 07/24/2015 10:52:43 PM converted 301000 articles to words
DEBUG: 07/24/2015 10:53:53 PM converted 302000 articles to words
DEBUG: 07/24/2015 10:55:03 PM converted 303000 articles to words
DEBUG: 07/24/2015 10:56:15 PM converted 304000 articles to words
DEBUG: 07/24/2015 10:57:28 PM converted 305000 articles to words
DEBUG: 07/24/2015 10:58:40 PM converted 306000 articles to words
DEBUG: 07/24/2015 10:59:46 PM converted 307000 articles to words
DEBUG: 07/24/2015 11:00:54 PM converted 308000 articles to words
DEBUG: 07/24/2015 11:02:00 PM converted 309000 articles to words
DEBUG: 07/24/2015 11:03:12 PM converted 310000 articles to words
DEBUG: 07/24/2015 11:04:20 PM converted 311000 articles to words
DEBUG: 07/24/2015 11:05:27 PM converted 312000 articles to words
DEBUG: 07/24/2015 11:06:39 PM converted 313000 articles to words
DEBUG: 07/24/2015 11:07:51 PM converted 314000 articles to words
DEBUG: 07/24/2015 11:09:02 PM converted 315000 articles to words
DEBUG: 07/24/2015 11:10:12 PM converted 316000 articles to words
DEBUG: 07/24/2015 11:11:20 PM converted 317000 articles to words
DEBUG: 07/24/2015 11:12:36 PM converted 318000 articles to words
DEBUG: 07/24/2015 11:13:48 PM converted 319000 articles to words
DEBUG: 07/24/2015 11:15:03 PM converted 320000 articles to words
DEBUG: 07/24/2015 11:16:13 PM converted 321000 articles to words
DEBUG: 07/24/2015 11:17:23 PM converted 322000 articles to words
DEBUG: 07/24/2015 11:18:36 PM converted 323000 articles to words
DEBUG: 07/24/2015 11:19:49 PM converted 324000 articles to words
DEBUG: 07/24/2015 11:20:59 PM converted 325000 articles to words
DEBUG: 07/24/2015 11:22:12 PM converted 326000 articles to words
DEBUG: 07/24/2015 11:23:24 PM converted 327000 articles to words
DEBUG: 07/24/2015 11:24:32 PM converted 328000 articles to words
DEBUG: 07/24/2015 11:25:44 PM converted 329000 articles to words
DEBUG: 07/24/2015 11:26:56 PM converted 330000 articles to words
DEBUG: 07/24/2015 11:28:09 PM converted 331000 articles to words
DEBUG: 07/24/2015 11:29:24 PM converted 332000 articles to words
DEBUG: 07/24/2015 11:30:35 PM converted 333000 articles to words
DEBUG: 07/24/2015 11:31:44 PM converted 334000 articles to words
DEBUG: 07/24/2015 11:32:59 PM converted 335000 articles to words
DEBUG: 07/24/2015 11:34:07 PM converted 336000 articles to words
DEBUG: 07/24/2015 11:35:20 PM converted 337000 articles to words
DEBUG: 07/24/2015 11:36:27 PM converted 338000 articles to words
DEBUG: 07/24/2015 11:37:40 PM converted 339000 articles to words
DEBUG: 07/24/2015 11:38:55 PM converted 340000 articles to words
DEBUG: 07/24/2015 11:40:08 PM converted 341000 articles to words
DEBUG: 07/24/2015 11:41:22 PM converted 342000 articles to words
DEBUG: 07/24/2015 11:42:29 PM converted 343000 articles to words
DEBUG: 07/24/2015 11:43:37 PM converted 344000 articles to words
DEBUG: 07/24/2015 11:44:50 PM converted 345000 articles to words
DEBUG: 07/24/2015 11:45:58 PM converted 346000 articles to words
DEBUG: 07/24/2015 11:47:09 PM converted 347000 articles to words
DEBUG: 07/24/2015 11:48:21 PM converted 348000 articles to words
DEBUG: 07/24/2015 11:49:29 PM converted 349000 articles to words
DEBUG: 07/24/2015 11:50:35 PM converted 350000 articles to words
DEBUG: 07/24/2015 11:51:45 PM converted 351000 articles to words
DEBUG: 07/24/2015 11:52:56 PM converted 352000 articles to words
DEBUG: 07/24/2015 11:54:08 PM converted 353000 articles to words
DEBUG: 07/24/2015 11:55:19 PM converted 354000 articles to words
DEBUG: 07/24/2015 11:56:25 PM converted 355000 articles to words
DEBUG: 07/24/2015 11:57:36 PM converted 356000 articles to words
DEBUG: 07/24/2015 11:58:47 PM converted 357000 articles to words
DEBUG: 07/24/2015 11:59:56 PM converted 358000 articles to words
DEBUG: 07/25/2015 12:01:08 AM converted 359000 articles to words
DEBUG: 07/25/2015 12:02:17 AM converted 360000 articles to words
DEBUG: 07/25/2015 12:03:29 AM converted 361000 articles to words
DEBUG: 07/25/2015 12:04:39 AM converted 362000 articles to words
DEBUG: 07/25/2015 12:05:51 AM converted 363000 articles to words
DEBUG: 07/25/2015 12:07:02 AM converted 364000 articles to words
DEBUG: 07/25/2015 12:08:11 AM converted 365000 articles to words
DEBUG: 07/25/2015 12:09:26 AM converted 366000 articles to words
DEBUG: 07/25/2015 12:10:35 AM converted 367000 articles to words
DEBUG: 07/25/2015 12:11:47 AM converted 368000 articles to words
