articleID,acronym,correct_expansion,wrong_expansion2,isOneMoreConfident
19027160,CCD,Central Core Disease,Cleidocranial dysplasia,True
10484775,CCD,Central Core Disease,Cleidocranial dysplasia,True
17081152,CCD,Central Core Disease,Cleidocranial dysplasia,True
15336973,CCD,Central Core Disease,Cleidocranial dysplasia,True
14708096,CCD,Central Core Disease,Cleidocranial dysplasia,True
11216663,CCD,Central Core Disease,Cleidocranial dysplasia,True
15589992,CCD,Central Core Disease,Cleidocranial dysplasia,True
12937085,CCD,Central Core Disease,Cleidocranial dysplasia,True
17190947,CCD,Central Core Disease,Cleidocranial dysplasia,True
19206168,CCD,Central Core Disease,Cleidocranial dysplasia,True
14513182,CCD,Central Core Disease,Cleidocranial dysplasia,True
17204937,CCD,Central Core Disease,Cleidocranial dysplasia,True
16866299,CCD,Central Core Disease,Cleidocranial dysplasia,True
15347586,CCD,Central Core Disease,Cleidocranial dysplasia,False
17631035,CCD,Central Core Disease,Cleidocranial dysplasia,True
12161072,CCD,Central Core Disease,Cleidocranial dysplasia,True
10951187,CCD,Central Core Disease,Cleidocranial dysplasia,True
17504518,CCD,Central Core Disease,Cleidocranial dysplasia,True
11274444,CCD,Central Core Disease,Cleidocranial dysplasia,True
15269663,CCD,Central Core Disease,Cleidocranial dysplasia,True
19303294,CCD,Central Core Disease,Cleidocranial dysplasia,True
12124989,CCD,Central Core Disease,Cleidocranial dysplasia,True
12642598,CCD,Central Core Disease,Cleidocranial dysplasia,True
10790202,CCD,Central Core Disease,Cleidocranial dysplasia,True
11524458,CCD,Central Core Disease,Cleidocranial dysplasia,True
12810058,CCD,Central Core Disease,Cleidocranial dysplasia,True
16917943,CCD,Central Core Disease,Cleidocranial dysplasia,True
11063719,CCD,Central Core Disease,Cleidocranial dysplasia,True
16550918,CCD,Central Core Disease,Cleidocranial dysplasia,True
12566385,CCD,Central Core Disease,Cleidocranial dysplasia,True
17226826,CCD,Central Core Disease,Cleidocranial dysplasia,True
15926054,CCD,Central Core Disease,Cleidocranial dysplasia,True
16958053,CCD,Central Core Disease,Cleidocranial dysplasia,True
11741831,CCD,Central Core Disease,Cleidocranial dysplasia,True
10783639,CCD,Central Core Disease,Cleidocranial dysplasia,True
15175001,CCD,Central Core Disease,Cleidocranial dysplasia,False
16621918,CCD,Central Core Disease,Cleidocranial dysplasia,True
11709545,CCD,Central Core Disease,Cleidocranial dysplasia,True
18313359,CCD,Central Core Disease,Cleidocranial dysplasia,True
17455311,CDA,chlorodeoxyadenosine,Congenital dyserythropoietic anemias,True
7777940,CDA,Congenital dyserythropoietic anemias,chlorodeoxyadenosine,True
11007058,CDA,Congenital dyserythropoietic anemias,chlorodeoxyadenosine,True
15075093,CDA,chlorodeoxyadenosine,Congenital dyserythropoietic anemias,False
12180113,CDA,Congenital dyserythropoietic anemias,chlorodeoxyadenosine,False
12894049,CDA,chlorodeoxyadenosine,Congenital dyserythropoietic anemias,True
10100277,CDA,Congenital dyserythropoietic anemias,chlorodeoxyadenosine,True
15312436,CDA,Congenital dyserythropoietic anemias,chlorodeoxyadenosine,True
10468869,CDA,Congenital dyserythropoietic anemias,chlorodeoxyadenosine,True
15151542,CDA,Congenital dyserythropoietic anemias,chlorodeoxyadenosine,True
19125089,CDA,chlorodeoxyadenosine,Congenital dyserythropoietic anemias,True
10841325,CDA,Congenital dyserythropoietic anemias,chlorodeoxyadenosine,True
9694508,CDA,Congenital dyserythropoietic anemias,chlorodeoxyadenosine,True
11310976,CDA,Congenital dyserythropoietic anemias,chlorodeoxyadenosine,True
9266923,CDA,Congenital dyserythropoietic anemias,chlorodeoxyadenosine,False
15170896,CDA,chlorodeoxyadenosine,Congenital dyserythropoietic anemias,True
18824595,CDA,Congenital dyserythropoietic anemias,chlorodeoxyadenosine,True
10711781,CDA,Congenital dyserythropoietic anemias,chlorodeoxyadenosine,True
9858239,CDA,Congenital dyserythropoietic anemias,chlorodeoxyadenosine,False
8634422,CDA,Congenital dyserythropoietic anemias,chlorodeoxyadenosine,True
15960289,CDA,chlorodeoxyadenosine,Congenital dyserythropoietic anemias,True
15745056,CDA,Congenital dyserythropoietic anemias,chlorodeoxyadenosine,True
17117609,CDA,Congenital dyserythropoietic anemias,chlorodeoxyadenosine,False
18322355,CDA,chlorodeoxyadenosine,Congenital dyserythropoietic anemias,True
12847329,CDA,chlorodeoxyadenosine,Congenital dyserythropoietic anemias,True
12130485,CDA,Congenital dyserythropoietic anemias,chlorodeoxyadenosine,True
12152244,CDA,Congenital dyserythropoietic anemias,chlorodeoxyadenosine,True
15024607,CDA,chlorodeoxyadenosine,Congenital dyserythropoietic anemias,True
9111594,CDA,Congenital dyserythropoietic anemias,chlorodeoxyadenosine,True
15365768,CLS,capillary leak syndrome,Coffin-Lowry syndrome,True
12792428,CLS,Coffin-Lowry syndrome,capillary leak syndrome,True
12575619,CLS,capillary leak syndrome,Coffin-Lowry syndrome,True
19846389,CP,cerebral palsy,cleft palate,True
20003101,CP,cerebral palsy,cleft palate,True
20083809,CP,cleft palate,cerebral palsy,True
20179566,CP,cerebral palsy,cleft palate,True
19924492,CP,cerebral palsy,cleft palate,True
19575106,CP,cleft palate,cerebral palsy,True
15806447,CP,cleft palate,cerebral palsy,True
16243237,CP,cleft palate,cerebral palsy,True
20412253,CP,cerebral palsy,cleft palate,True
20099613,CP,cerebral palsy,cleft palate,True
19041924,CP,cleft palate,Corynebacterium parvum,False
20300011,CP,cerebral palsy,cleft palate,True
17133404,CP,cleft palate,cerebral palsy,False
19854058,CP,cerebral palsy,cleft palate,True
19938160,CP,cerebral palsy,cleft palate,True
20120414,CP,cerebral palsy,cleft palate,False
19864110,CP,cerebral palsy,cleft palate,True
19934797,CP,cerebral palsy,Corynebacterium parvum,False
20055573,CP,cerebral palsy,cleft palate,True
16034735,CP,cleft palate,cerebral palsy,True
20357589,CP,cerebral palsy,cleft palate,True
20132137,CP,cerebral palsy,cleft palate,True
16687910,CP,cleft palate,cerebral palsy,False
18616373,CP,cleft palate,cerebral palsy,False
19923970,CP,cerebral palsy,cleft palate,True
17489001,CP,cleft palate,cerebral palsy,False
20006274,CP,cleft palate,cerebral palsy,False
19815646,CP,cerebral palsy,cleft palate,True
20338763,CP,cerebral palsy,cleft palate,False
20132139,CP,cerebral palsy,cleft palate,True
20132136,CP,cerebral palsy,cleft palate,True
20298838,CP,cerebral palsy,cleft palate,True
17366853,CP,cleft palate,cerebral palsy,True
20306774,CP,cerebral palsy,cleft palate,False
20035642,CP,cerebral palsy,cleft palate,True
20187888,CP,cerebral palsy,cleft palate,True
17152223,CP,cleft palate,cerebral palsy,True
16846134,CP,cleft palate,cerebral palsy,True
20158415,CP,cleft palate,Corynebacterium parvum,True
15733594,CP,cleft palate,cerebral palsy,True
9432522,CP,Corynebacterium parvum,cleft palate,False
19687392,CP,cleft palate,Corynebacterium parvum,True
19401770,CP,cleft palate,cerebral palsy,True
20067354,CP,cerebral palsy,cleft palate,True
17477747,CP,cleft palate,cerebral palsy,False
16420271,CP,cleft palate,cerebral palsy,True
20120401,CP,cerebral palsy,cleft palate,True
18481336,CP,cleft palate,cerebral palsy,False
18325604,CP,cleft palate,cerebral palsy,True
20298820,CP,cerebral palsy,cleft palate,True
11490129,CP,Corynebacterium parvum,cerebral palsy,True
19703238,CP,cleft palate,cerebral palsy,True
20002130,CP,cerebral palsy,cleft palate,True
20207020,CP,cleft palate,cerebral palsy,True
20042475,CP,cerebral palsy,cleft palate,True
20335565,CP,cleft palate,cerebral palsy,True
20002117,CP,cerebral palsy,cleft palate,True
18616361,CP,cleft palate,cerebral palsy,True
17349597,CP,cleft palate,cerebral palsy,True
19880137,CP,cerebral palsy,cleft palate,True
20141494,CP,cerebral palsy,cleft palate,True
19961501,CP,cerebral palsy,cleft palate,True
12930843,CPDD,cis-platinum diammine dichloride,calcium pyrophosphate deposition disease,True
19357177,CRF,chronic renal failure,corticotrophin-releasing factor,True
19321994,CRF,chronic renal failure,corticotrophin-releasing factor,False
20007296,CRF,chronic renal failure,corticotrophin-releasing factor,True
19553908,CRF,corticotrophin-releasing factor,chronic renal failure,True
19814639,CRF,chronic renal failure,corticotrophin-releasing factor,True
19912987,CRF,chronic renal failure,corticotrophin-releasing factor,True
19404572,CRF,corticotrophin-releasing factor,chronic renal failure,False
19080229,CRF,chronic renal failure,corticotrophin-releasing factor,True
19112899,CRF,chronic renal failure,corticotrophin-releasing factor,True
19878707,CRF,chronic renal failure,corticotrophin-releasing factor,True
18721740,CRF,chronic renal failure,corticotrophin-releasing factor,True
19422857,CRF,corticotrophin-releasing factor,chronic renal failure,True
19523931,CRF,corticotrophin-releasing factor,chronic renal failure,True
19879859,CRF,corticotrophin-releasing factor,chronic renal failure,True
19118829,CRF,chronic renal failure,corticotrophin-releasing factor,True
19225048,CRF,chronic renal failure,corticotrophin-releasing factor,True
19750259,CRF,chronic renal failure,corticotrophin-releasing factor,True
19397334,CRF,chronic renal failure,corticotrophin-releasing factor,True
20071461,CRF,chronic renal failure,corticotrophin-releasing factor,False
11737215,CTX,Cerebrotendinous xanthomatosis,cytoxan,True
9178427,CTX,Cerebrotendinous xanthomatosis,cytoxan,True
18718065,CTX,cytoxan,Cerebrotendinous xanthomatosis,True
19004041,CTX,cytoxan,Cerebrotendinous xanthomatosis,True
16830884,CTX,cytoxan,Cerebrotendinous xanthomatosis,False
20003864,DAT,dementia of the Alzheimer's type,dopamine transporters,True
19501717,DAT,dementia of the Alzheimer's type,dopamine transporters,False
16390030,DAT,dementia of the Alzheimer's type,dopamine transporters,True
16325150,DAT,dementia of the Alzheimer's type,dopamine transporters,True
16305479,DAT,dementia of the Alzheimer's type,dopamine transporters,False
19960520,DAT,dopamine transporters,dementia of the Alzheimer's type,False
19542944,DAT,dopamine transporters,dementia of the Alzheimer's type,True
19907013,DAT,dementia of the Alzheimer's type,dopamine transporters,True
20019219,DAT,dopamine transporters,dementia of the Alzheimer's type,False
19877234,DAT,dopamine transporters,dementia of the Alzheimer's type,False
20049490,DAT,dopamine transporters,dementia of the Alzheimer's type,True
20184806,DAT,dopamine transporters,dementia of the Alzheimer's type,True
19590515,DAT,dopamine transporters,dementia of the Alzheimer's type,True
20233662,DBA,Dilute Brown Non-Agouti,Diamond-Blackfan anemia,True
20384817,DBA,Dilute Brown Non-Agouti,Diamond-Blackfan anemia,True
17726054,DBA,Diamond-Blackfan anemia,Dilute Brown Non-Agouti,True
20305363,DBA,Dilute Brown Non-Agouti,Diamond-Blackfan anemia,True
20373399,DBA,Dilute Brown Non-Agouti,Diamond-Blackfan anemia,True
20091782,DBA,Dilute Brown Non-Agouti,Diamond-Blackfan anemia,True
20233743,DBA,Dilute Brown Non-Agouti,Diamond-Blackfan anemia,True
20060461,DBA,Dilute Brown Non-Agouti,Diamond-Blackfan anemia,True
19997907,DBA,Dilute Brown Non-Agouti,Diamond-Blackfan anemia,True
20335075,DBA,Dilute Brown Non-Agouti,Diamond-Blackfan anemia,True
19760280,DBA,Dilute Brown Non-Agouti,Diamond-Blackfan anemia,True
20371546,DBA,Dilute Brown Non-Agouti,Diamond-Blackfan anemia,True
18671700,DBA,Diamond-Blackfan anemia,Dilute Brown Non-Agouti,True
19733691,DBA,Dilute Brown Non-Agouti,Diamond-Blackfan anemia,True
12041668,DBA,Diamond-Blackfan anemia,Dilute Brown Non-Agouti,True
18028431,DBA,Diamond-Blackfan anemia,Dilute Brown Non-Agouti,True
16304857,DBA,Diamond-Blackfan anemia,Dilute Brown Non-Agouti,True
19489057,DBA,Diamond-Blackfan anemia,Dilute Brown Non-Agouti,True
19641932,DBA,Dilute Brown Non-Agouti,Diamond-Blackfan anemia,True
20018491,DBA,Dilute Brown Non-Agouti,Diamond-Blackfan anemia,True
20022637,DBA,Diamond-Blackfan anemia,Dilute Brown Non-Agouti,True
19937000,DBA,Dilute Brown Non-Agouti,Diamond-Blackfan anemia,True
19743418,DBA,Dilute Brown Non-Agouti,Diamond-Blackfan anemia,True
16616604,DDS,drug delivery system,diaminodiphenyl sulfone,False
19836833,DDS,drug delivery system,Denys-Drash syndrome,True
2262714,DDS,diaminodiphenyl sulfone,drug delivery system,False
11201896,DDS,diaminodiphenyl sulfone,drug delivery system,False
17658251,DDS,drug delivery system,diaminodiphenyl sulfone,False
7725382,DDS,diaminodiphenyl sulfone,drug delivery system,True
2072851,DDS,diaminodiphenyl sulfone,drug delivery system,False
9401487,DDS,diaminodiphenyl sulfone,drug delivery system,False
17285949,DDS,drug delivery system,diaminodiphenyl sulfone,False
11703851,DDS,diaminodiphenyl sulfone,drug delivery system,True
15866332,DDS,drug delivery system,diaminodiphenyl sulfone,True
8201835,DDS,diaminodiphenyl sulfone,Denys-Drash syndrome,True
8885125,DDS,diaminodiphenyl sulfone,drug delivery system,True
16457769,DDS,diaminodiphenyl sulfone,drug delivery system,True
12932885,DDS,Denys-Drash syndrome,diaminodiphenyl sulfone,True
2126271,DDS,diaminodiphenyl sulfone,drug delivery system,True
17061122,DDS,Denys-Drash syndrome,diaminodiphenyl sulfone,True
1594661,DDS,diaminodiphenyl sulfone,drug delivery system,False
2071980,DDS,diaminodiphenyl sulfone,Denys-Drash syndrome,True
2206787,DDS,diaminodiphenyl sulfone,drug delivery system,True
18203491,DDS,drug delivery system,diaminodiphenyl sulfone,False
18822969,DDS,drug delivery system,diaminodiphenyl sulfone,True
16877400,DDS,drug delivery system,diaminodiphenyl sulfone,True
11765001,DDS,diaminodiphenyl sulfone,drug delivery system,True
7714357,DDS,diaminodiphenyl sulfone,drug delivery system,False
17353400,DDS,drug delivery system,diaminodiphenyl sulfone,True
18819869,DDS,drug delivery system,diaminodiphenyl sulfone,True
11920946,DDS,diaminodiphenyl sulfone,drug delivery system,True
16075742,DDS,diaminodiphenyl sulfone,drug delivery system,True
16235676,DI,diabetes insipidus,DNA index,True
14504846,DI,diabetes insipidus,DNA index,True
14676564,DI,diabetes insipidus,DNA index,True
15211159,DI,diabetes insipidus,DNA index,True
15212402,DI,diabetes insipidus,DNA index,True
15134627,DI,diabetes insipidus,DNA index,True
12006285,DI,diabetes insipidus,DNA index,True
11124437,DI,diabetes insipidus,DNA index,True
12516704,DI,diabetes insipidus,DNA index,True
7532932,DI,DNA index,diabetes insipidus,True
12139729,DI,diabetes insipidus,DNA index,True
14635749,DI,diabetes insipidus,DNA index,True
15049016,DI,diabetes insipidus,DNA index,True
9766256,DI,diabetes insipidus,DNA index,True
16059642,DI,DNA index,diabetes insipidus,True
9694340,DI,diabetes insipidus,DNA index,True
19380027,DI,diabetes insipidus,DNA index,False
15696461,DI,diabetes insipidus,DNA index,True
10557042,DI,DNA index,diabetes insipidus,False
9149915,DI,DNA index,diabetes insipidus,True
18515145,EM,Electron microscopy,Estramustine,True
10461848,EM,Estramustine,Electron microscopy,True
2346305,EM,Estramustine,Electron microscopy,True
19403600,EM,Electron microscopy,Estramustine,True
18928504,EM,Electron microscopy,Estramustine,True
2734976,EM,Estramustine,Electron microscopy,True
8653701,EM,Estramustine,Electron microscopy,True
18664125,EM,Electron microscopy,Estramustine,True
9508362,EM,Estramustine,Electron microscopy,True
20432988,EMS,emergency medical service,ethyl methane sulfonate,True
19957706,EMS,emergency medical service,ethyl methane sulfonate,False
19857798,EMS,ethyl methane sulfonate,emergency medical service,True
20219509,EMS,emergency medical service,ethyl methane sulfonate,True
19856773,EMS,emergency medical service,ethyl methane sulfonate,False
20053255,EMS,emergency medical service,ethyl methane sulfonate,False
19439165,EMS,ethyl methane sulfonate,emergency medical service,True
19897139,EMS,emergency medical service,ethyl methane sulfonate,False
19957697,EMS,emergency medical service,ethyl methane sulfonate,False
19442710,EMS,ethyl methane sulfonate,emergency medical service,True
17284775,EMS,ethyl methane sulfonate,emergency medical service,False
8212753,ERP,endoscopic retrograde pancreatography,Event-related potentials,True
18436268,FA,folic acid,Fanconi anemia,True
19638421,FA,folic acid,Fanconi anemia,True
19065770,FA,Fanconi anemia,folic acid,True
18375715,FA,folic acid,Fanconi anemia,False
19098451,FA,folic acid,Fanconi anemia,False
18163165,FA,folic acid,Fanconi anemia,True
18495331,FA,Fanconi anemia,folic acid,True
20010426,FA,folic acid,Fanconi anemia,True
19121630,FA,folic acid,Fanconi anemia,False
18372237,FAS,fatty acid synthase,fetal alcohol syndrome,True
17701351,FAS,fetal alcohol syndrome,fatty acid synthase,True
19251116,FAS,fetal alcohol syndrome,fatty acid synthase,True
20021705,FAS,fatty acid synthase,fetal alcohol syndrome,True
18591393,FAS,fatty acid synthase,fetal alcohol syndrome,True
11919112,HPS,Hermansky-Pudlak syndrome,hantavirus pulmonary syndrome,True
16431308,HPS,Hermansky-Pudlak syndrome,hantavirus pulmonary syndrome,True
19729668,HPS,Hermansky-Pudlak syndrome,hantavirus pulmonary syndrome,True
16734315,HPS,Hermansky-Pudlak syndrome,hantavirus pulmonary syndrome,True
12126938,HPS,Hermansky-Pudlak syndrome,hantavirus pulmonary syndrome,True
11414528,HPS,Hermansky-Pudlak syndrome,hantavirus pulmonary syndrome,True
19370510,HPS,Hermansky-Pudlak syndrome,hantavirus pulmonary syndrome,True
11217408,HPS,hantavirus pulmonary syndrome,Hermansky-Pudlak syndrome,False
16102489,HPS,Hermansky-Pudlak syndrome,hantavirus pulmonary syndrome,True
16547274,HPS,Hermansky-Pudlak syndrome,hantavirus pulmonary syndrome,False
12404153,HPS,hantavirus pulmonary syndrome,Hermansky-Pudlak syndrome,True
15575250,HPS,Hermansky-Pudlak syndrome,hantavirus pulmonary syndrome,False
19160629,HPS,Hermansky-Pudlak syndrome,hantavirus pulmonary syndrome,True
15655502,ITP,inosine triphosphate,idiopathic thrombocytopenic purpura,False
19755017,ITP,idiopathic thrombocytopenic purpura,inosine triphosphate,False
15063720,MAF,macrophage activating factor,musculo-aponeurotic fibrosacroma,True
16342171,MAF,macrophage activating factor,musculo-aponeurotic fibrosacroma,True
19692128,MBP,myelin basic protein,mannan-binding protein,True
19053745,MBP,myelin basic protein,mannan-binding protein,True
19930042,MBP,myelin basic protein,mannan-binding protein,True
12365732,MBP,mannan-binding protein,myelin basic protein,False
18989578,MBP,myelin basic protein,mannan-binding protein,False
19877432,MBP,myelin basic protein,mannan-binding protein,False
19822525,MBP,myelin basic protein,mannan-binding protein,True
19630914,MBP,myelin basic protein,mannan-binding protein,True
